condition,ligand,receptor,seed,ok,out_pdbqt,n_poses,best_score
A,9FQY_A1IFN,beta0.0,1,True,results/lasb_ensemble_rmsd/docking/A_9FQY_A1IFN_beta0.0_s1_out.pdbqt,20,-7.789
A,9FQY_A1IFN,beta3.2,2,True,results/lasb_ensemble_rmsd/docking/A_9FQY_A1IFN_beta3.2_s2_out.pdbqt,20,-8.252
B,9FQY_A1IFN,1EZM_apo,1,True,results/lasb_ensemble_rmsd/docking/B_9FQY_A1IFN_1EZM_apo_s1_out.pdbqt,20,-6.112
B,9FQY_A1IFN,1EZM_apo,2,True,results/lasb_ensemble_rmsd/docking/B_9FQY_A1IFN_1EZM_apo_s2_out.pdbqt,20,-6.149
A,9FRY_A1IFU,beta0.0,1,True,results/lasb_ensemble_rmsd/docking/A_9FRY_A1IFU_beta0.0_s1_out.pdbqt,20,-8.087
A,9FRY_A1IFU,beta3.2,2,True,results/lasb_ensemble_rmsd/docking/A_9FRY_A1IFU_beta3.2_s2_out.pdbqt,20,-7.571
B,9FRY_A1IFU,1EZM_apo,1,True,results/lasb_ensemble_rmsd/docking/B_9FRY_A1IFU_1EZM_apo_s1_out.pdbqt,20,-5.572
B,9FRY_A1IFU,1EZM_apo,2,True,results/lasb_ensemble_rmsd/docking/B_9FRY_A1IFU_1EZM_apo_s2_out.pdbqt,20,-5.587
A,9FRZ_A1IFZ,beta0.0,1,True,results/lasb_ensemble_rmsd/docking/A_9FRZ_A1IFZ_beta0.0_s1_out.pdbqt,20,-8.648
A,9FRZ_A1IFZ,beta3.2,2,True,results/lasb_ensemble_rmsd/docking/A_9FRZ_A1IFZ_beta3.2_s2_out.pdbqt,20,-8.757
B,9FRZ_A1IFZ,1EZM_apo,1,True,results/lasb_ensemble_rmsd/docking/B_9FRZ_A1IFZ_1EZM_apo_s1_out.pdbqt,20,-6.458
B,9FRZ_A1IFZ,1EZM_apo,2,True,results/lasb_ensemble_rmsd/docking/B_9FRZ_A1IFZ_1EZM_apo_s2_out.pdbqt,20,-6.494
A,9GM4_A1IM0,beta0.0,1,True,results/lasb_ensemble_rmsd/docking/A_9GM4_A1IM0_beta0.0_s1_out.pdbqt,20,-8.0
A,9GM4_A1IM0,beta3.2,2,True,results/lasb_ensemble_rmsd/docking/A_9GM4_A1IM0_beta3.2_s2_out.pdbqt,20,-8.427
B,9GM4_A1IM0,1EZM_apo,1,True,results/lasb_ensemble_rmsd/docking/B_9GM4_A1IM0_1EZM_apo_s1_out.pdbqt,20,-6.2
B,9GM4_A1IM0,1EZM_apo,2,True,results/lasb_ensemble_rmsd/docking/B_9GM4_A1IM0_1EZM_apo_s2_out.pdbqt,20,-6.232
A,9FS0_A1IFY,beta0.0,1,True,results/lasb_ensemble_rmsd/docking/A_9FS0_A1IFY_beta0.0_s1_out.pdbqt,20,-8.019
