cand_idx,mean_pairwise_rmsd,max_pairwise_rmsd
0,0.6220403732336806,0.7731729907880965
1,11.109096149033848,20.48178866395706
2,0.45256429636976264,0.6008077895633506
3,1.6211382519424435,3.7717878860220733
4,0.7092665436559947,1.219731759534608
5,8.110958088676314,13.308578164955385
6,0.2719940372354185,0.3523120302610555
7,1.391775851375448,1.997512465543081
8,0.41912339063559456,0.5721695271000861
9,2.1287329793065686,4.760156096056465
10,3.2305884777427094,7.45758137018009
11,10.040654416227063,17.21022651963486
12,0.6312482195409913,0.8407025387262071
13,6.045008108617607,9.765195193976954
14,3.5756799640694483,9.685944810222008
15,5.506764333079177,16.221811919523077
16,0.4983425505985004,0.6510072302156883
17,2.3487964486849906,3.8997343499269284
18,0.7350179973494363,0.9563407691124884
19,4.2165431422107345,11.966091984808111
